,ID1_G,ID2_G,ID_T_G,ID_R_G,DATE_G,R4,R5,R2,R8,R3,R9,R10,R1,R12,R6,R7,R13,R14,R16,R17,R11,R15,DIFF_pts
20,7732,32032,13224,4,2016-06-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,30518,22150,13224,4,2016-06-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,18720,24288,13224,4,2016-06-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,22949,29367,13225,4,2016-06-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,745,7462,12993,4,2016-06-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,18398,17735,13232,4,2016-06-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,4146,26218,12991,5,2016-06-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,13957,6002,12992,5,2016-06-02,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1936,10415,12992,5,2016-06-02,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,13429,26221,12993,5,2016-06-02,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,762,11517,12993,5,2016-06-02,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,7772,2904,12993,5,2016-06-02,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,4003,875,12993,5,2016-06-02,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,891,23160,13225,5,2016-06-02,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,22949,13804,13225,5,2016-06-02,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,28346,29667,13225,5,2016-06-02,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,14861,30931,13227,5,2016-06-02,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,23240,28813,13227,5,2016-06-02,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,19871,34693,13227,5,2016-06-02,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,25861,29047,13227,5,2016-06-02,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,14479,44545,13232,5,2016-06-02,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,9941,25934,13232,5,2016-06-02,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,17358,29967,13232,5,2016-06-02,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,5992,831,12814,9,2016-06-02,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
44,20650,11226,12814,9,2016-06-02,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
45,30470,30978,12815,6,2016-06-02,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
46,41964,36767,12815,6,2016-06-02,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
47,7757,22439,12991,9,2016-06-02,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
48,50925,9878,12991,10,2016-06-02,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
49,14177,7345,12992,5,2016-06-02,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,13048,1747,12992,5,2016-06-02,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
